"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-pop"
"03/04/2017 12:00:48:448 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of social-system 0"
"83","0.1","1.0E-6","0.92","1","0","1.1","1.0E-4","4.0E-7","1","9695","33145.460481056216"
"85","0.1","1.0E-6","0.92","1","0","1.12","1.0E-4","4.0E-7","1","11002","27778.57480199066"
"86","0.1","1.0E-6","0.92","1","0","1.13","1.0E-4","4.0E-7","1","12922","25472.476587256428"
"87","0.1","1.0E-6","0.92","1","0","1.14","1.0E-4","4.0E-7","1","14127","23384.366090042684"
"84","0.1","1.0E-6","0.92","1","0","1.11","1.0E-4","4.0E-7","1","10231","30327.192297317313"
"88","0.1","1.0E-6","0.92","1","0","1.15","1.0E-4","4.0E-7","1","14642","21492.139810329023"
"89","0.1","1.0E-6","0.92","1","0","1.16","1.0E-4","4.0E-7","1","16946","19775.933457553365"
"90","0.1","1.0E-6","0.92","1","0","1.17","1.0E-4","4.0E-7","1","17672","18217.928688900938"
"92","0.1","1.0E-6","0.92","1","0","1.19","1.0E-4","4.0E-7","1","21729","15514.351913961811"
"93","0.1","1.0E-6","0.92","1","0","1.2","1.0E-4","4.0E-7","1","23942","14341.71394474748"
"91","0.1","1.0E-6","0.92","1","0","1.18","1.0E-4","4.0E-7","1","19930","16802.16359007203"
"94","0.1","1.0E-6","0.93","1","0","0.9","1.0E-4","4.0E-7","1","28514","140411.43790247772"
"95","0.1","1.0E-6","0.93","1","0","0.91","1.0E-4","4.0E-7","1","22550","143470.59072944702"
"96","0.1","1.0E-6","0.93","1","0","0.92","1.0E-4","4.0E-7","1","18222","141983.85147058545"
"98","0.1","1.0E-6","0.93","1","0","0.94","1.0E-4","4.0E-7","1","12403","130665.24852466164"
"99","0.1","1.0E-6","0.93","1","0","0.95","1.0E-4","4.0E-7","1","10381","122813.61629445781"
"100","0.1","1.0E-6","0.93","1","0","0.96","1.0E-4","4.0E-7","1","8467","114403.51105692009"
"102","0.1","1.0E-6","0.93","1","0","0.98","1.0E-4","4.0E-7","1","4712","97489.08605550924"
"101","0.1","1.0E-6","0.93","1","0","0.97","1.0E-4","4.0E-7","1","6717","105865.79136733609"
"103","0.1","1.0E-6","0.93","1","0","0.99","1.0E-4","4.0E-7","1","4503","89457.61819701214"
"97","0.1","1.0E-6","0.93","1","0","0.93","1.0E-4","4.0E-7","1","14706","137340.00011544477"
"104","0.1","1.0E-6","0.93","1","0","1","1.0E-4","4.0E-7","1","4480","81880.87512854129"
"105","0.1","1.0E-6","0.93","1","0","1.01","1.0E-4","4.0E-7","1","4943","74816.03703813792"
"106","0.1","1.0E-6","0.93","1","0","1.02","1.0E-4","4.0E-7","1","5100","68284.51751399001"
"109","0.1","1.0E-6","0.93","1","0","1.05","1.0E-4","4.0E-7","1","6052","51795.86847947788"
"108","0.1","1.0E-6","0.93","1","0","1.04","1.0E-4","4.0E-7","1","5538","56796.67993500611"
"110","0.1","1.0E-6","0.93","1","0","1.06","1.0E-4","4.0E-7","1","6312","47249.55442785687"
"107","0.1","1.0E-6","0.93","1","0","1.03","1.0E-4","4.0E-7","1","5305","62283.94017766027"
"111","0.1","1.0E-6","0.93","1","0","1.07","1.0E-4","4.0E-7","1","7077","43123.53541179753"
"112","0.1","1.0E-6","0.93","1","0","1.08","1.0E-4","4.0E-7","1","7110","39383.24363080766"
"113","0.1","1.0E-6","0.93","1","0","1.09","1.0E-4","4.0E-7","1","8336","35994.9630410504"
"116","0.1","1.0E-6","0.93","1","0","1.12","1.0E-4","4.0E-7","1","10315","27631.394874760972"
"115","0.1","1.0E-6","0.93","1","0","1.11","1.0E-4","4.0E-7","1","9810","30148.00657137193"
"114","0.1","1.0E-6","0.93","1","0","1.1","1.0E-4","4.0E-7","1","8846","32926.57926506966"
"117","0.1","1.0E-6","0.93","1","0","1.13","1.0E-4","4.0E-7","1","11042","25351.189737404136"
"118","0.1","1.0E-6","0.93","1","0","1.14","1.0E-4","4.0E-7","1","12201","23284.09675257172"
"119","0.1","1.0E-6","0.93","1","0","1.15","1.0E-4","4.0E-7","1","12702","21408.986197184873"
"121","0.1","1.0E-6","0.93","1","0","1.17","1.0E-4","4.0E-7","1","15400","18160.217431516387"
"122","0.1","1.0E-6","0.93","1","0","1.18","1.0E-4","4.0E-7","1","17565","16753.87253276345"
"120","0.1","1.0E-6","0.93","1","0","1.16","1.0E-4","4.0E-7","1","15122","19706.76277982899"
"123","0.1","1.0E-6","0.93","1","0","1.19","1.0E-4","4.0E-7","1","18465","15473.828021085854"
"124","0.1","1.0E-6","0.93","1","0","1.2","1.0E-4","4.0E-7","1","21413","14307.613110303413"
"128","0.1","1.0E-6","0.94","1","0","0.93","1.0E-4","4.0E-7","1","15927","125118.59771211594"
"127","0.1","1.0E-6","0.94","1","0","0.92","1.0E-4","4.0E-7","1","20073","126454.65352556924"
"125","0.1","1.0E-6","0.94","1","0","0.9","1.0E-4","4.0E-7","1","31583","116280.42402662591"
"129","0.1","1.0E-6","0.94","1","0","0.94","1.0E-4","4.0E-7","1","13102","121098.74100913863"
"130","0.1","1.0E-6","0.94","1","0","0.95","1.0E-4","4.0E-7","1","11020","115342.90711155577"
"131","0.1","1.0E-6","0.94","1","0","0.96","1.0E-4","4.0E-7","1","9006","108571.63220843126"
"133","0.1","1.0E-6","0.94","1","0","0.98","1.0E-4","4.0E-7","1","5801","93921.74706231045"
"134","0.1","1.0E-6","0.94","1","0","0.99","1.0E-4","4.0E-7","1","4578","86658.01231390446"
"132","0.1","1.0E-6","0.94","1","0","0.97","1.0E-4","4.0E-7","1","7369","101308.87021704085"
"135","0.1","1.0E-6","0.94","1","0","1","1.0E-4","4.0E-7","1","4306","79677.37087576836"
"137","0.1","1.0E-6","0.94","1","0","1.02","1.0E-4","4.0E-7","1","4197","66906.0397386539"
"136","0.1","1.0E-6","0.94","1","0","1.01","1.0E-4","4.0E-7","1","4689","73076.15179802237"
"138","0.1","1.0E-6","0.94","1","0","1.03","1.0E-4","4.0E-7","1","4972","61187.958191938924"
"139","0.1","1.0E-6","0.94","1","0","1.04","1.0E-4","4.0E-7","1","5176","55922.177243313155"
"126","0.1","1.0E-6","0.94","1","0","0.91","1.0E-4","4.0E-7","1","24939","123937.73310605518"
"141","0.1","1.0E-6","0.94","1","0","1.06","1.0E-4","4.0E-7","1","5406","46686.72193116332"
"140","0.1","1.0E-6","0.94","1","0","1.05","1.0E-4","4.0E-7","1","5655","51095.56531447134"
"142","0.1","1.0E-6","0.94","1","0","1.07","1.0E-4","4.0E-7","1","6144","42669.56004005797"
"144","0.1","1.0E-6","0.94","1","0","1.09","1.0E-4","4.0E-7","1","7355","35696.455822905984"
"145","0.1","1.0E-6","0.94","1","0","1.1","1.0E-4","4.0E-7","1","8064","32683.257245332265"
"146","0.1","1.0E-6","0.94","1","0","1.11","1.0E-4","4.0E-7","1","8984","29948.992075420803"
"143","0.1","1.0E-6","0.94","1","0","1.08","1.0E-4","4.0E-7","1","6867","39015.76615016388"
"147","0.1","1.0E-6","0.94","1","0","1.12","1.0E-4","4.0E-7","1","9677","27468.07568485768"
