"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"72","0.1","1.0E-6","0.98","1","0","0.93","1.0E-4","4.0E-7","1","23261","0.6966643938449778"
"73","0.1","1.0E-6","0.99","1","0","0.93","1.0E-4","4.0E-7","1","26621","0.7655866269331915"
"75","0.1","1.0E-6","1.01","1","0","0.93","1.0E-4","4.0E-7","1","35672","0.890382410314878"
"77","0.1","1.0E-6","1.03","1","0","0.93","1.0E-4","4.0E-7","1","40668","0.9642175619707262"
"76","0.1","1.0E-6","1.02","1","0","0.93","1.0E-4","4.0E-7","1","39552","0.9352158038892135"
"74","0.1","1.0E-6","1","1","0","0.93","1.0E-4","4.0E-7","1","30854","0.8319591056625589"
"80","0.1","1.0E-6","1.06","1","0","0.93","1.0E-4","4.0E-7","1","31975","0.9933023443121684"
"78","0.1","1.0E-6","1.04","1","0","0.93","1.0E-4","4.0E-7","1","38786","0.9804206581227899"
"79","0.1","1.0E-6","1.05","1","0","0.93","1.0E-4","4.0E-7","1","35536","0.9888730942006805"
"83","0.1","1.0E-6","1.09","1","0","0.93","1.0E-4","4.0E-7","1","23513","0.9979681483086276"
"82","0.1","1.0E-6","1.08","1","0","0.93","1.0E-4","4.0E-7","1","25912","0.9971195464359714"
"84","0.1","1.0E-6","1.1","1","0","0.93","1.0E-4","4.0E-7","1","21465","0.9985091932199128"
"85","0.1","1.0E-6","0.9","1","0","0.94","1.0E-4","4.0E-7","1","10390","0.2480635309450662"
"86","0.1","1.0E-6","0.91","1","0","0.94","1.0E-4","4.0E-7","1","11095","0.2799221354357152"
"87","0.1","1.0E-6","0.92","1","0","0.94","1.0E-4","4.0E-7","1","11586","0.31563233759663123"
"89","0.1","1.0E-6","0.94","1","0","0.94","1.0E-4","4.0E-7","1","13118","0.40000000000001934"
"88","0.1","1.0E-6","0.93","1","0","0.94","1.0E-4","4.0E-7","1","12415","0.3555481230598152"
"81","0.1","1.0E-6","1.07","1","0","0.93","1.0E-4","4.0E-7","1","28764","0.9957234408205168"
"91","0.1","1.0E-6","0.96","1","0","0.94","1.0E-4","4.0E-7","1","14832","0.5034701448511125"
"90","0.1","1.0E-6","0.95","1","0","0.94","1.0E-4","4.0E-7","1","14292","0.4492577857170079"
"92","0.1","1.0E-6","0.97","1","0","0.94","1.0E-4","4.0E-7","1","16250","0.5625669210040032"
"94","0.1","1.0E-6","0.99","1","0","0.94","1.0E-4","4.0E-7","1","20434","0.6930061685146014"
"95","0.1","1.0E-6","1","1","0","0.94","1.0E-4","4.0E-7","1","23468","0.7612148713924193"
"93","0.1","1.0E-6","0.98","1","0","0.94","1.0E-4","4.0E-7","1","18236","0.6261021888552734"
"96","0.1","1.0E-6","1.01","1","0","0.94","1.0E-4","4.0E-7","1","27290","0.8272157731349046"
"97","0.1","1.0E-6","1.02","1","0","0.94","1.0E-4","4.0E-7","1","31675","0.8858707609994844"
"98","0.1","1.0E-6","1.03","1","0","0.94","1.0E-4","4.0E-7","1","35394","0.9316155786336933"
"101","0.1","1.0E-6","1.06","1","0","0.94","1.0E-4","4.0E-7","1","33012","0.9880768566978184"
"100","0.1","1.0E-6","1.05","1","0","0.94","1.0E-4","4.0E-7","1","35679","0.979016631208644"
"102","0.1","1.0E-6","1.07","1","0","0.94","1.0E-4","4.0E-7","1","29967","0.9928410334841221"
"104","0.1","1.0E-6","1.09","1","0","0.94","1.0E-4","4.0E-7","1","24552","0.9969421066135858"
"103","0.1","1.0E-6","1.08","1","0","0.94","1.0E-4","4.0E-7","1","27100","0.9954441663863247"
"105","0.1","1.0E-6","1.1","1","0","0.94","1.0E-4","4.0E-7","1","22323","0.9978501588601808"
"99","0.1","1.0E-6","1.04","1","0","0.94","1.0E-4","4.0E-7","1","36865","0.9618275599306124"
"106","0.1","1.0E-6","0.9","1","0","0.95","1.0E-4","4.0E-7","1","8414","0.22111283995941233"
"107","0.1","1.0E-6","0.91","1","0","0.95","1.0E-4","4.0E-7","1","9075","0.24933197301707336"
"108","0.1","1.0E-6","0.92","1","0","0.95","1.0E-4","4.0E-7","1","9579","0.28098905029572274"
"110","0.1","1.0E-6","0.94","1","0","0.95","1.0E-4","4.0E-7","1","11040","0.3559918720931401"
"111","0.1","1.0E-6","0.95","1","0","0.95","1.0E-4","4.0E-7","1","11514","0.40000000000001934"
"113","0.1","1.0E-6","0.97","1","0","0.95","1.0E-4","4.0E-7","1","13092","0.5022777377933121"
"109","0.1","1.0E-6","0.93","1","0","0.95","1.0E-4","4.0E-7","1","10404","0.31642811269467236"
"112","0.1","1.0E-6","0.96","1","0","0.95","1.0E-4","4.0E-7","1","12598","0.4487135929680479"
"114","0.1","1.0E-6","0.98","1","0","0.95","1.0E-4","4.0E-7","1","14372","0.5606291989983723"
"115","0.1","1.0E-6","0.99","1","0","0.95","1.0E-4","4.0E-7","1","15976","0.6233487923817758"
"117","0.1","1.0E-6","1.01","1","0","0.95","1.0E-4","4.0E-7","1","20757","0.7569268433823013"
"118","0.1","1.0E-6","1.02","1","0","0.95","1.0E-4","4.0E-7","1","24192","0.8225323461097094"
"119","0.1","1.0E-6","1.03","1","0","0.95","1.0E-4","4.0E-7","1","28088","0.8813597545228856"
"116","0.1","1.0E-6","1","1","0","0.95","1.0E-4","4.0E-7","1","18111","0.689428950070951"
"120","0.1","1.0E-6","1.04","1","0","0.95","1.0E-4","4.0E-7","1","31710","0.927945646931885"
"121","0.1","1.0E-6","1.05","1","0","0.95","1.0E-4","4.0E-7","1","33490","0.959339869132126"
"122","0.1","1.0E-6","1.06","1","0","0.95","1.0E-4","4.0E-7","1","32818","0.9775338221087453"
"124","0.1","1.0E-6","1.08","1","0","0.95","1.0E-4","4.0E-7","1","28080","0.9923501729095465"
"127","0.1","1.0E-6","0.9","1","0","0.96","1.0E-4","4.0E-7","1","6619","0.19748387064346729"
"125","0.1","1.0E-6","1.09","1","0","0.95","1.0E-4","4.0E-7","1","25520","0.995147429269284"
"128","0.1","1.0E-6","0.91","1","0","0.96","1.0E-4","4.0E-7","1","7284","0.2225031189046336"
"129","0.1","1.0E-6","0.92","1","0","0.96","1.0E-4","4.0E-7","1","7784","0.25058001938691454"
"130","0.1","1.0E-6","0.93","1","0","0.96","1.0E-4","4.0E-7","1","8497","0.28203747033866955"
"126","0.1","1.0E-6","1.1","1","0","0.95","1.0E-4","4.0E-7","1","23244","0.9967540332602507"
"133","0.1","1.0E-6","0.96","1","0","0.96","1.0E-4","4.0E-7","1","10126","0.40000000000001934"
"131","0.1","1.0E-6","0.94","1","0","0.96","1.0E-4","4.0E-7","1","9036","0.3172091191778399"
"132","0.1","1.0E-6","0.95","1","0","0.96","1.0E-4","4.0E-7","1","9544","0.35642686423709635"
"123","0.1","1.0E-6","1.07","1","0","0.95","1.0E-4","4.0E-7","1","30710","0.9872305495327788"
"134","0.1","1.0E-6","0.97","1","0","0.96","1.0E-4","4.0E-7","1","11132","0.44818127132441166"
"135","0.1","1.0E-6","0.98","1","0","0.96","1.0E-4","4.0E-7","1","11734","0.5011122850668028"
"136","0.1","1.0E-6","0.99","1","0","0.96","1.0E-4","4.0E-7","1","12847","0.5587362042264087"
"137","0.1","1.0E-6","1","1","0","0.96","1.0E-4","4.0E-7","1","14240","0.6206587881718131"
